sku_id,sku_name,date,quantity
1001,Electronics_Chargers_1001,2021-01-01,1
1001,Electronics_Chargers_1001,2021-01-01,2
1001,Electronics_Chargers_1001,2021-01-01,4
1001,Electronics_Chargers_1001,2021-01-02,4
1001,Electronics_Chargers_1001,2021-01-02,1
1001,Electronics_Chargers_1001,2021-01-02,3
1001,Electronics_Chargers_1001,2021-01-02,2
1001,Electronics_Chargers_1001,2021-01-03,5
1001,Electronics_Chargers_1001,2021-01-03,2
1001,Electronics_Chargers_1001,2021-01-03,2
1001,Electronics_Chargers_1001,2021-01-03,1
1001,Electronics_Chargers_1001,2021-01-03,5
1001,Electronics_Chargers_1001,2021-01-03,5
1001,Electronics_Chargers_1001,2021-01-03,2
1001,Electronics_Chargers_1001,2021-01-04,3
1001,Electronics_Chargers_1001,2021-01-04,1
1001,Electronics_Chargers_1001,2021-01-04,2
1001,Electronics_Chargers_1001,2021-01-05,3
1001,Electronics_Chargers_1001,2021-01-06,5
1001,Electronics_Chargers_1001,2021-01-06,2
1001,Electronics_Chargers_1001,2021-01-07,1
1001,Electronics_Chargers_1001,2021-01-08,2
1001,Electronics_Chargers_1001,2021-01-09,4
1001,Electronics_Chargers_1001,2021-01-09,2
1001,Electronics_Chargers_1001,2021-01-10,2
1001,Electronics_Chargers_1001,2021-01-10,1
1001,Electronics_Chargers_1001,2021-01-10,5
1001,Electronics_Chargers_1001,2021-01-10,1
1001,Electronics_Chargers_1001,2021-01-10,6
1001,Electronics_Chargers_1001,2021-01-11,4
