store_id,store_name,sku_id,stock_on_hand
1,BlueMart Store 01,1001,88
1,BlueMart Store 01,1002,63
1,BlueMart Store 01,1003,96
1,BlueMart Store 01,1004,142
1,BlueMart Store 01,1005,108
1,BlueMart Store 01,1006,96
1,BlueMart Store 01,1007,91
1,BlueMart Store 01,1008,54
1,BlueMart Store 01,1009,58
1,BlueMart Store 01,1010,173
1,BlueMart Store 01,1011,69
1,BlueMart Store 01,1012,173
1,BlueMart Store 01,1013,174
1,BlueMart Store 01,1014,138
1,BlueMart Store 01,1015,83
1,BlueMart Store 01,1016,142
1,BlueMart Store 01,1017,58
1,BlueMart Store 01,1018,52
1,BlueMart Store 01,1019,79
1,BlueMart Store 01,1020,170
1,BlueMart Store 01,1021,142
1,BlueMart Store 01,1022,134
1,BlueMart Store 01,1023,55
1,BlueMart Store 01,1024,200
1,BlueMart Store 01,1025,49
1,BlueMart Store 01,1026,60
1,BlueMart Store 01,1027,61
1,BlueMart Store 01,1028,113
1,BlueMart Store 01,1029,195
1,BlueMart Store 01,1030,133
1,BlueMart Store 01,1031,75
1,BlueMart Store 01,1032,80
1,BlueMart Store 01,1033,53
1,BlueMart Store 01,1034,101
1,BlueMart Store 01,1035,97
1,BlueMart Store 01,1036,92
1,BlueMart Store 01,1037,53
1,BlueMart Store 01,1038,85
1,BlueMart Store 01,1039,68
1,BlueMart Store 01,1040,51
1,BlueMart Store 01,1041,118
1,BlueMart Store 01,1042,109
1,BlueMart Store 01,1043,80
1,BlueMart Store 01,1044,119
1,BlueMart Store 01,1045,48
1,BlueMart Store 01,1046,123
1,BlueMart Store 01,1047,85
1,BlueMart Store 01,1048,172
1,BlueMart Store 01,1049,69
1,BlueMart Store 01,1050,110
1,BlueMart Store 01,1051,100
1,BlueMart Store 01,1052,141
1,BlueMart Store 01,1053,148
1,BlueMart Store 01,1054,157
1,BlueMart Store 01,1055,137
1,BlueMart Store 01,1056,82
1,BlueMart Store 01,1057,145
1,BlueMart Store 01,1058,107
1,BlueMart Store 01,1059,80
1,BlueMart Store 01,1060,67
1,BlueMart Store 01,1061,120
1,BlueMart Store 01,1062,140
1,BlueMart Store 01,1063,73
1,BlueMart Store 01,1064,161
1,BlueMart Store 01,1065,75
1,BlueMart Store 01,1066,45
1,BlueMart Store 01,1067,187
1,BlueMart Store 01,1068,39
1,BlueMart Store 01,1069,202
1,BlueMart Store 01,1070,195
1,BlueMart Store 01,1071,144
1,BlueMart Store 01,1072,91
1,BlueMart Store 01,1073,79
1,BlueMart Store 01,1074,90
1,BlueMart Store 01,1075,69
1,BlueMart Store 01,1076,79
1,BlueMart Store 01,1077,58
1,BlueMart Store 01,1078,90
1,BlueMart Store 01,1079,193
1,BlueMart Store 01,1080,64
1,BlueMart Store 01,1081,156
1,BlueMart Store 01,1082,107
1,BlueMart Store 01,1083,131
1,BlueMart Store 01,1084,111
1,BlueMart Store 01,1085,84
1,BlueMart Store 01,1086,181
1,BlueMart Store 01,1087,139
1,BlueMart Store 01,1088,104
1,BlueMart Store 01,1089,48
1,BlueMart Store 01,1090,147
