date,store_id,sku_id,customer_id,quantity,unit_price,total_value,channel,discount_pct
2021-07-19,34,1035,3294.0,6,245.38,1472.28,Website,0.0
2021-07-23,43,1035,1581.0,6,245.38,1472.28,MobileApp,0.0
2021-05-03,20,1035,1705.0,6,245.38,1472.28,Website,0.0
2021-01-05,10,1035,1118.0,6,245.38,1472.28,MobileApp,0.0
2021-01-12,44,1035,1277.0,6,245.38,1472.28,Website,0.0
2021-02-04,6,1035,3845.0,6,245.38,1472.28,Website,0.0
2021-01-18,24,1035,2670.0,6,245.38,1472.28,Website,0.0
2021-01-07,41,1035,,6,245.38,1472.28,Store,0.0
2021-01-21,4,1035,2114.0,6,245.38,1472.28,Store,0.0
2021-05-10,26,1035,,6,245.38,1472.28,Store,0.0
