sku_id,sku_name,category,subcategory,unit_price,cost_price,brand
1035,Electronics_Batteries_1035,Electronics,Batteries,245.38,139.58,Premium
1174,Electronics_Mobile Accessories_1174,Electronics,Mobile Accessories,240.85,141.42,Premium
1072,Electronics_Chargers_1072,Electronics,Chargers,238.26,187.67,Budget
1199,Electronics_Cables_1199,Electronics,Cables,229.89,150.51,Premium
1019,Electronics_Cables_1019,Electronics,Cables,211.86,152.31,Local
1164,Electronics_Cables_1164,Electronics,Cables,196.24,126.3,BlueMart
1078,Electronics_Cables_1078,Electronics,Cables,179.73,102.12,Local
1037,Electronics_Cables_1037,Electronics,Cables,178.57,123.66,BlueMart
1159,Electronics_Batteries_1159,Electronics,Batteries,178.08,122.11,Premium
1065,Electronics_Chargers_1065,Electronics,Chargers,177.83,113.29,International
1001,Electronics_Chargers_1001,Electronics,Chargers,164.56,103.44,Budget
1173,Electronics_Batteries_1173,Electronics,Batteries,163.58,90.5,Budget
1107,Electronics_Mobile Accessories_1107,Electronics,Mobile Accessories,160.77,116.72,Premium
1153,Electronics_Batteries_1153,Electronics,Batteries,160.72,109.83,International
1129,Electronics_Chargers_1129,Electronics,Chargers,152.84,105.63,Premium
1114,Electronics_Batteries_1114,Electronics,Batteries,152.42,99.08,Budget
1151,Electronics_Cables_1151,Electronics,Cables,142.73,110.85,Budget
1045,Electronics_Cables_1045,Electronics,Cables,141.21,89.2,Local
1183,Electronics_Batteries_1183,Electronics,Batteries,133.79,93.49,Premium
1150,Electronics_Batteries_1150,Electronics,Batteries,133.14,80.96,International
1073,Electronics_Chargers_1073,Electronics,Chargers,120.38,75.03,Premium
1049,Electronics_Batteries_1049,Electronics,Batteries,118.16,67.31,BlueMart
1172,Electronics_Chargers_1172,Electronics,Chargers,113.45,88.34,Premium
1096,Electronics_Mobile Accessories_1096,Electronics,Mobile Accessories,113.29,88.73,International
1149,Electronics_Chargers_1149,Electronics,Chargers,103.58,68.95,Premium
1098,Electronics_Mobile Accessories_1098,Electronics,Mobile Accessories,103.53,76.34,Premium
